_conf_bin,mean_confidence,actual_accuracy,count
"(0.0681, 0.162]",0.10333333333333333,0.0,3
"(0.162, 0.254]",0.24,0.0,2
"(0.254, 0.346]",0.3054545454545454,0.0,11
"(0.346, 0.438]",0.398125,0.0,16
"(0.438, 0.53]",0.502,0.0,10
"(0.53, 0.622]",0.5805882352941176,0.0,17
"(0.622, 0.714]",0.6755,0.35,20
"(0.714, 0.806]",0.7685714285714286,0.8701298701298701,77
"(0.806, 0.898]",0.8491358024691358,0.9567901234567902,162
"(0.898, 0.99]",0.9451098901098901,0.978021978021978,182
